

Name,Stage,Stimulus,RotateMode,RotateAxis,RotateDir,Control,Time,X,Z,VelX,VelZ,pitch,roll
test,x,Particle,Fixed,Roll,None,Controller,2.899999,-38.4779,46.81477,0.4102345,22.94124,31.36,159.96
test,x,Particle,Fixed,Roll,None,Controller,2.999999,-38.4361,49.1381,0.4229334,23.42308,31.27,159.98
test,x,Particle,Fixed,Roll,None,Controller,3.099999,-38.39307,51.50764,0.4352061,23.86085,31.24,160.06
test,x,Particle,Fixed,Roll,None,Controller,3.199999,-38.34869,53.91525,0.4501711,24.21367,31.24,160.06
test,x,Particle,Fixed,Roll,None,Controller,3.299999,-38.30236,56.35662,0.4737492,24.55309,31.15,160.1
test,x,Particle,Fixed,Roll,None,Controller,3.399999,-38.25276,58.8377,0.5127074,24.98312,31.09,160.2
test,x,Particle,Fixed,Roll,None,Controller,3.499999,-38.19855,61.35973,0.5630462,25.37252,31,160.29
test,x,Particle,Fixed,Roll,None,Controller,3.599999,-38.13921,63.90885,0.6143034,25.56889,30.95,160.47
test,x,Particle,Fixed,Roll,None,Controller,3.699999,-38.07468,66.47412,0.6646024,25.6792,30.92,160.41
test,x,Particle,Fixed,Roll,None,Controller,3.799999,-38.00479,69.06005,0.7211955,25.98008,30.86,160.42
test,x,Particle,Fixed,Roll,None,Controller,3.899998,-37.92981,71.67204,0.7686653,26.23404,30.86,160.41
test,x,Particle,Fixed,Roll,None,Controller,3.999998,-37.85042,74.31366,0.8092245,26.53069,30.86,160.41
test,x,Particle,Fixed,Roll,None,Controller,4.099998,-37.76756,76.9827,0.8402092,26.78852,30.84,160.5
test,x,Particle,Fixed,Roll,None,Controller,4.199998,-37.68196,79.67633,0.8663233,27.03913,30.79,160.58
test,x,Particle,Fixed,Roll,None,Controller,4.299998,-37.59386,82.39543,0.8903067,27.28793,30.75,160.67
test,x,Particle,Fixed,Roll,None,Controller,4.399998,-37.50352,85.13876,0.9118606,27.52767,30.75,160.66
test,x,Particle,Fixed,Roll,None,Controller,4.499998,-37.41131,87.90249,0.9270674,27.67535,30.7,160.63
test,x,Particle,Fixed,Roll,None,Controller,4.599998,-37.31789,90.68018,0.9380475,27.84495,30.64,160.63
test,x,Particle,Fixed,Roll,None,Controller,4.699998,-37.22378,93.47569,0.9415786,28.01021,30.56,160.71
test,x,Particle,Fixed,Roll,None,Controller,4.799998,-37.12991,96.285,0.9357979,28.16101,30.5,160.71
test,x,Particle,Fixed,Roll,None,Controller,4.899998,-37.03734,99.10319,0.9160093,28.12241,30.5,160.71
test,x,Particle,Fixed,Roll,None,Controller,4.999998,-36.94759,101.9115,0.8840491,28.11507,30.51,160.72
test,x,Particle,Fixed,Roll,None,Controller,5.099998,-36.86177,104.7335,0.8386565,28.2892,30.45,160.8
test,x,Particle,Fixed,Roll,None,Controller,5.199997,-36.78154,107.5642,0.7758827,28.36929,30.44,160.82
test,x,Particle,Fixed,Roll,None,Controller,5.299997,-36.70861,110.4109,0.6959467,28.52901,30.36,160.91
test,x,Particle,Fixed,Roll,None,Controller,5.399997,-36.64458,113.2664,0.6003316,28.61739,30.39,160.89
test,x,Particle,Fixed,Roll,None,Controller,5.499997,-36.59106,116.1346,0.4901974,28.71554,30.34,160.9
test,x,Particle,Fixed,Roll,None,Controller,5.599997,-36.54907,119.0089,0.3718408,28.76799,30.34,160.9
test,x,Particle,Fixed,Roll,None,Controller,5.699997,-36.51928,121.89,0.2491509,28.82191,30.31,160.91
test,x,Particle,Fixed,Roll,None,Controller,5.799997,-36.50143,124.7706,0.1304734,28.79091,30.25,160.99
test,x,Particle,Fixed,Roll,None,Controller,5.899997,-36.49531,127.6519,0.01300841,28.84692,30.21,161.02
test,x,Particle,Fixed,Roll,None,Controller,5.999997,-36.50072,130.5442,-0.1000355,28.97149,30.13,161.02
test,x,Particle,Fixed,Roll,None,Controller,6.099997,-36.51686,133.4481,-0.2037365,29.05873,30.14,160.99
test,x,Particle,Fixed,Roll,None,Controller,6.199996,-36.5428,136.3604,-0.3002014,29.14645,30.1,160.99
test,x,Particle,Fixed,Roll,None,Controller,6.299996,-36.57753,139.277,-0.3872615,29.13585,30.12,161.08
test,x,Particle,Fixed,Roll,None,Controller,6.399996,-36.61991,142.1845,-0.4672962,29.00925,30.12,161.08
test,x,Particle,Fixed,Roll,None,Controller,6.499996,-36.67079,145.0745,-0.5502031,28.82666,30.08,161.04
test,x,Particle,Fixed,Roll,None,Controller,6.599996,-36.72952,147.9504,-0.6474398,28.68174,30.01,161.05
test,x,Particle,Fixed,Roll,None,Controller,6.699996,-36.79786,150.803,-0.7546434,28.42598,30,161.09
test,x,Particle,Fixed,Roll,None,Controller,6.799996,-36.87757,153.6382,-0.8904369,28.27912,30.01,161.1
test,x,Particle,Fixed,Roll,None,Controller,6.899996,-36.97223,156.4654,-1.059777,28.1731,29.94,161.1
test,x,Particle,Fixed,Roll,None,Controller,6.999996,-37.08465,159.2757,-1.245192,27.95238,29.91,161.02
test,x,Particle,Fixed,Roll,None,Controller,7.099996,-37.21652,162.0545,-1.448164,27.60948,29.91,161.02
test,x,Particle,Fixed,Roll,None,Controller,7.199996,-37.37089,164.7993,-1.688764,27.29526,29.96,161.03
test,x,Particle,Fixed,Roll,None,Controller,7.299995,-37.55132,167.5127,-1.961353,26.97499,29.92,160.91
test,x,Particle,Fixed,Roll,None,Controller,7.399995,-37.75941,170.1986,-2.294425,26.75241,29.92,160.83
test,x,Particle,Fixed,Roll,None,Controller,7.499995,-38.00109,172.8624,-2.68544,26.57504,29.86,160.76
test,x,Particle,Fixed,Roll,None,Controller,7.599995,-38.28672,175.5198,-3.190415,26.60741,29.9,160.8
test,x,Particle,Fixed,Roll,None,Controller,7.699995,-38.63441,178.1903,-3.772129,26.72844,29.9,160.77
test,x,Particle,Fixed,Roll,None,Controller,7.799995,-39.04428,180.8662,-4.355046,26.72821,29.94,160.73
test,x,Particle,Fixed,Roll,None,Controller,7.899995,-39.50795,183.5444,-4.995652,26.77611,29.94,160.73
test,x,Particle,Fixed,Roll,None,Controller,7.999995,-40.04118,186.2247,-5.656967,26.77729,29.96,160.78
test,x,Particle,Fixed,Roll,None,Controller,8.099995,-40.64588,188.9036,-6.341477,26.74223,29.98,160.69
test,x,Particle,Fixed,Roll,None,Controller,8.199995,-41.31894,191.5768,-7.030477,26.65541,29.98,160.7
test,x,Particle,Fixed,Roll,None,Controller,8.299995,-42.05973,194.241,-7.715901,26.54365,30.08,160.67
test,x,Particle,Fixed,Roll,None,Controller,8.399996,-42.86794,196.8913,-8.377434,26.39014,30.05,160.69
test,x,Particle,Fixed,Roll,None,Controller,8.499996,-43.74279,199.5269,-9.034643,26.21388,29.98,160.71
test,x,Particle,Fixed,Roll,None,Controller,8.599997,-44.67711,202.1369,-9.618511,25.90748,29.98,160.62
test,x,Particle,Fixed,Roll,None,Controller,8.699997,-45.6663,204.7114,-10.15379,25.51913,29.98,160.62
test,x,Particle,Fixed,Roll,None,Controller,8.799997,-46.71101,207.2459,-10.70853,25.15864,30.04,160.58
test,x,Particle,Fixed,Roll,None,Controller,8.899998,-47.81395,209.7455,-11.2651,24.79275,30.04,160.51
test,x,Particle,Fixed,Roll,None,Controller,8.999998,-48.97304,212.2143,-11.89464,24.50516,30.03,160.46
test,x,Particle,Fixed,Roll,None,Controller,9.099998,-50.19109,214.6474,-12.54013,24.20591,30.06,160.49
test,x,Particle,Fixed,Roll,None,Controller,9.199999,-51.4838,217.0554,-13.22669,23.93739,30.05,160.47
test,x,Particle,Fixed,Roll,None,Controller,9.299999,-52.84809,219.4359,-13.93382,23.66361,30.02,160.49
test,x,Particle,Fixed,Roll,None,Controller,9.4,-54.28049,221.7865,-14.61692,23.34806,30.02,160.49
test,x,Particle,Fixed,Roll,None,Controller,9.5,-55.78176,224.1068,-15.30805,23.03826,30,160.56
test,x,Particle,Fixed,Roll,None,Controller,9.6,-57.3498,226.3928,-15.94328,22.68504,30.04,160.56
test,x,Particle,Fixed,Roll,None,Controller,9.700001,-58.98318,228.6432,-16.58219,22.33468,29.99,160.52
test,x,Particle,Fixed,Roll,None,Controller,9.800001,-60.68058,230.8582,-17.20418,21.97096,30,160.53
test,x,Particle,Fixed,Roll,None,Controller,9.900002,-62.43712,233.0381,-17.81353,21.61566,30,160.7
test,x,Particle,Fixed,Roll,None,Controller,10,-64.2535,235.1811,-18.37092,21.23913,29.99,160.7
test,x,Particle,Fixed,Roll,None,Controller,10.1,-66.12516,237.2876,-18.9294,20.88179,30.03,160.72
test,x,Particle,Fixed,Roll,None,Controller,10.2,-68.04532,239.3557,-19.35533,20.4698,30.03,160.72
test,x,Particle,Fixed,Roll,None,Controller,10.3,-70.00348,241.3796,-19.70841,20.00672,30.01,160.82
test,x,Particle,Fixed,Roll,None,Controller,10.4,-71.98761,243.3523,-19.89473,19.42426,30.03,160.86
test,x,Particle,Fixed,Roll,None,Controller,10.5,-73.98167,245.2623,-19.97361,18.80061,30.05,160.85
test,x,Particle,Fixed,Roll,None,Controller,10.6,-75.99471,247.1146,-20.2535,18.30647,30.08,160.83
test,x,Particle,Fixed,Roll,None,Controller,10.7,-78.05554,248.9291,-20.80692,17.98026,30.03,160.9
test,x,Particle,Fixed,Roll,None,Controller,10.8,-80.1714,250.7098,-21.34563,17.63116,30.03,160.81
test,x,Particle,Fixed,Roll,None,Controller,10.90001,-82.77827,252.7981,-21.9447,17.1823,30.11,160.85
test,x,Particle,Fixed,Roll,None,Controller,11.00001,-84.55576,254.1599,-22.33359,16.87589,30.11,160.85
test,x,Particle,Fixed,Roll,None,Controller,11.10001,-86.81832,255.827,-22.78699,16.4791,30.09,160.81
test,x,Particle,Fixed,Roll,None,Controller,11.20001,-89.12572,257.4537,-23.22364,16.0728,30.11,160.83
test,x,Particle,Fixed,Roll,None,Controller,11.30001,-91.47353,259.0379,-23.63547,15.65789,30.07,160.95
test,x,Particle,Fixed,Roll,None,Controller,11.40001,-93.86644,260.5824,-24.06696,15.26493,30.06,161.05
test,x,Particle,Fixed,Roll,None,Controller,11.50001,-96.30059,262.0883,-24.46404,14.88249,30.05,161.01
test,x,Particle,Fixed,Roll,None,Controller,11.60001,-98.7693,263.5518,-24.72107,14.42449,29.97,161.08
test,x,Particle,Fixed,Roll,None,Controller,11.70001,-101.2566,264.9672,-24.88792,13.93832,29.97,161.08
test,x,Particle,Fixed,Roll,None,Controller,11.80001,-103.7557,266.3323,-24.98702,13.4326,30,161.07
test,x,Particle,Fixed,Roll,None,Controller,11.90001,-106.2659,267.6469,-25.09394,12.93521,29.99,161.11
test,x,Particle,Fixed,Roll,None,Controller,12.00001,-108.7896,268.912,-25.23302,12.43796,30.07,161.01
test,x,Particle,Fixed,Roll,None,Controller,12.10001,-111.3337,270.1294,-25.54197,11.98066,30.04,161.02
test,x,Particle,Fixed,Roll,None,Controller,12.20001,-113.9107,271.3018,-25.86152,11.52063,30.06,160.98
test,x,Particle,Fixed,Roll,None,Controller,12.30001,-116.5214,272.429,-26.18024,11.07255,30.08,160.95
test,x,Particle,Fixed,Roll,None,Controller,12.40001,-119.1638,273.5085,-26.4947,10.5957,30.08,160.95
test,x,Particle,Fixed,Roll,None,Controller,12.50001,-121.8365,274.5406,-26.78527,10.11364,30.07,160.99
test,x,Particle,Fixed,Roll,None,Controller,12.60001,-124.5373,275.5243,-27.06812,9.637398,30.06,161.02
test,x,Particle,Fixed,Roll,None,Controller,12.70001,-127.2588,276.4584,-27.19442,9.137855,30.08,161.04
test,x,Particle,Fixed,Roll,None,Controller,12.80001,-129.9977,277.3426,-27.42691,8.647086,30.09,161.07
test,x,Particle,Fixed,Roll,None,Controller,12.90001,-132.7516,278.1774,-27.50834,8.11803,30.11,161.12
test,x,Particle,Fixed,Roll,None,Controller,13.00001,-135.4985,278.9586,-27.41663,7.583578,30.08,161.19
test,x,Particle,Fixed,Roll,None,Controller,13.10001,-138.2455,279.6871,-27.42594,7.072572,30.09,161.1
test,x,Particle,Fixed,Roll,None,Controller,13.20001,-141.0027,280.3629,-27.60446,6.552904,30.05,161.04
test,x,Particle,Fixed,Roll,None,Controller,13.30001,-143.781,280.9872,-27.72455,6.013354,30.05,161.04
test,x,Particle,Fixed,Roll,None,Controller,13.40001,-146.5593,281.5564,-27.61216,5.469139,30.08,161.04
test,x,Particle,Fixed,Roll,None,Controller,13.50002,-149.3341,282.0687,-27.79892,4.90295,30.07,161
test,x,Particle,Fixed,Roll,None,Controller,13.60002,-152.1334,282.5243,-28.03807,4.317534,30.11,160.95
test,x,Particle,Fixed,Roll,None,Controller,13.70002,-154.9507,282.9217,-28.1594,3.722022,30.08,160.97
test,x,Particle,Fixed,Roll,None,Controller,13.80002,-157.7706,283.2599,-28.1556,3.153322,30.14,160.97
test,x,Particle,Fixed,Roll,None,Controller,13.90002,-160.603,283.537,-28.34449,2.531637,30.1,160.98
test,x,Particle,Fixed,Roll,None,Controller,14.00002,-163.4524,283.7517,-28.47523,1.902877,30.1,160.98
test,x,Particle,Fixed,Roll,None,Controller,14.10002,-166.3062,283.9041,-28.42974,1.286109,30.13,160.96
test,x,Particle,Fixed,Roll,None,Controller,14.20002,-169.1445,283.9955,-28.36861,0.6601568,30.15,160.94
test,x,Particle,Fixed,Roll,None,Controller,14.30002,-171.9939,284.021,-28.49064,-0.009336825,30.15,160.96
test,x,Particle,Fixed,Roll,None,Controller,14.40002,-174.8509,283.98,-28.49184,-0.6732193,30.1,160.92
test,x,Particle,Fixed,Roll,None,Controller,14.50002,-177.7052,283.8735,-28.51793,-1.336113,30.14,160.85
test,x,Particle,Fixed,Roll,None,Controller,14.60002,-180.5643,283.6995,-28.5482,-1.994356,30.14,160.82
test,x,Particle,Fixed,Roll,None,Controller,14.70002,-183.4258,283.4574,-28.57808,-2.677335,30.12,160.87
test,x,Particle,Fixed,Roll,None,Controller,14.80002,-186.2906,283.1473,-28.60501,-3.361796,30.12,160.87
test,x,Particle,Fixed,Roll,None,Controller,14.90002,-189.1568,282.7697,-28.61273,-4.026113,30.13,160.9
test,x,Particle,Fixed,Roll,None,Controller,15.00002,-192.0214,282.3261,-28.56078,-4.673712,30.1,160.93
test,x,Particle,Fixed,Roll,None,Controller,15.10002,-194.8727,281.8211,-28.40091,-5.280326,30.05,160.9
test,x,Particle,Fixed,Roll,None,Controller,15.20002,-197.7064,281.2568,-28.17482,-5.863636,30.04,160.98
test,x,Particle,Fixed,Roll,None,Controller,15.30002,-200.5124,280.6372,-27.91405,-6.411186,30.09,160.98
test,x,Particle,Fixed,Roll,None,Controller,15.40002,-203.2906,279.9632,-27.58052,-6.916559,30.16,160.97
test,x,Particle,Fixed,Roll,None,Controller,15.50002,-206.0483,279.2304,-27.50548,-7.565833,30.11,160.98
test,x,Particle,Fixed,Roll,None,Controller,15.60002,-208.7992,278.4321,-27.42547,-8.225224,30.11,160.98
test,x,Particle,Fixed,Roll,None,Controller,15.70002,-211.5398,277.5691,-27.31155,-8.859192,30.09,160.94
test,x,Particle,Fixed,Roll,None,Controller,15.80002,-214.2673,276.6422,-27.17747,-9.498199,30.09,160.94
test,x,Particle,Fixed,Roll,None,Controller,15.90002,-216.9807,275.6519,-27.03251,-10.1408,30.2,161.02
test,x,Particle,Fixed,Roll,None,Controller,16.00002,-219.6763,274.6012,-26.79761,-10.71685,30.15,160.95
test,x,Particle,Fixed,Roll,None,Controller,16.10003,-222.3368,273.5008,-26.38853,-11.15671,30.1,160.99
test,x,Particle,Fixed,Roll,None,Controller,16.20003,-224.9571,272.3548,-26.03474,-11.63203,30.17,160.94
test,x,Particle,Fixed,Roll,None,Controller,16.30003,-227.543,271.1592,-25.67745,-12.12156,30.17,160.94
test,x,Particle,Fixed,Roll,None,Controller,16.40003,-230.0944,269.9139,-25.32899,-12.61843,30.16,160.93
test,x,Particle,Fixed,Roll,None,Controller,16.50003,-232.5903,268.6334,-24.65832,-12.88796,30.18,160.85
test,x,Particle,Fixed,Roll,None,Controller,16.60003,-235.034,267.314,-24.28605,-13.40677,30.19,160.87
test,x,Particle,Fixed,Roll,None,Controller,16.70003,-237.4498,265.9347,-24.0343,-14.04911,30.17,160.85
test,x,Particle,Fixed,Roll,None,Controller,16.80003,-239.8432,264.4887,-23.79813,-14.68489,30.18,160.78
test,x,Particle,Fixed,Roll,None,Controller,16.90003,-242.2095,262.9783,-23.50995,-15.31669,30.22,160.81
test,x,Particle,Fixed,Roll,None,Controller,17.00003,-244.5442,261.4063,-23.18821,-15.92957,30.25,160.81
test,x,Particle,Fixed,Roll,None,Controller,17.10003,-246.8459,259.7742,-22.85563,-16.52496,30.25,160.84
test,x,Particle,Fixed,Roll,None,Controller,17.20003,-249.1151,258.0819,-22.54707,-17.13585,30.25,160.84
test,x,Particle,Fixed,Roll,None,Controller,17.30003,-251.3527,256.3301,-22.22094,-17.71298,30.22,160.89
test,x,Particle,Fixed,Roll,None,Controller,17.40003,-253.5578,254.52,-21.90946,-18.29699,30.23,160.88
test,x,Particle,Fixed,Roll,None,Controller,17.50003,-255.7287,252.6547,-21.53655,-18.79465,30.28,160.88
test,x,Particle,Fixed,Roll,None,Controller,17.60003,-257.8529,250.752,-21.03018,-19.10004,30.23,160.82
test,x,Particle,Fixed,Roll,None,Controller,17.70003,-259.9266,248.8154,-20.52636,-19.42996,30.25,160.85
test,x,Particle,Fixed,Roll,None,Controller,17.80003,-261.9521,246.8452,-20.08718,-19.85225,30.28,160.88
test,x,Particle,Fixed,Roll,None,Controller,17.90003,-263.9397,244.8247,-19.71885,-20.36468,30.28,160.88
test,x,Particle,Fixed,Roll,None,Controller,18.00003,-265.891,242.7519,-19.34832,-20.87933,30.29,160.9
test,x,Particle,Fixed,Roll,None,Controller,18.10003,-267.8044,240.6281,-18.95076,-21.3927,30.32,160.84
test,x,Particle,Fixed,Roll,None,Controller,18.20003,-269.6787,238.4539,-18.57406,-21.89008,30.29,160.83
test,x,Particle,Fixed,Roll,None,Controller,18.30003,-271.5128,236.2303,-18.18966,-22.36589,30.27,160.85
test,x,Particle,Fixed,Roll,None,Controller,18.40003,-273.3044,233.9657,-17.72073,-22.68718,30.27,160.88
test,x,Particle,Fixed,Roll,None,Controller,18.50003,-275.0458,231.6769,-17.17603,-22.87726,30.26,160.84
test,x,Particle,Fixed,Roll,None,Controller,18.60003,-276.7326,229.3693,-16.66916,-23.12069,30.26,160.84
test,x,Particle,Fixed,Roll,None,Controller,18.70004,-278.3718,227.0318,-16.22603,-23.47961,30.29,160.84
test,x,Particle,Fixed,Roll,None,Controller,18.80004,-279.9673,224.6559,-15.78881,-23.85832,30.29,160.77
test,x,Particle,Fixed,Roll,None,Controller,18.90004,-281.5153,222.2429,-15.33367,-24.23282,30.34,160.73
test,x,Particle,Fixed,Roll,None,Controller,19.00004,-283.0182,219.8019,-14.8267,-24.48003,30.31,160.69
test,x,Particle,Fixed,Roll,None,Controller,19.10004,-284.4711,217.3266,-14.36314,-24.85798,30.29,160.74
test,x,Particle,Fixed,Roll,None,Controller,19.20004,-285.8743,214.818,-13.85712,-25.13049,30.28,160.73
test,x,Particle,Fixed,Roll,None,Controller,19.30004,-287.2257,212.2883,-13.31345,-25.25051,30.32,160.68
test,x,Particle,Fixed,Roll,None,Controller,19.40004,-288.5203,209.7503,-12.7911,-25.39477,30.32,160.68
test,x,Particle,Fixed,Roll,None,Controller,19.50004,-289.7574,207.1952,-12.25654,-25.63685,30.36,160.61
test,x,Particle,Fixed,Roll,None,Controller,19.60004,-290.9484,204.6019,-11.74879,-26.01899,30.34,160.61
test,x,Particle,Fixed,Roll,None,Controller,19.70004,-292.0872,201.9723,-11.21891,-26.36674,30.33,160.52
test,x,Particle,Fixed,Roll,None,Controller,19.80004,-293.1707,199.3088,-10.68558,-26.71124,30.32,160.46
test,x,Particle,Fixed,Roll,None,Controller,19.90004,-294.201,196.6128,-10.1483,-27.02913,30.32,160.44
test,x,Particle,Fixed,Roll,None,Controller,20.00004,-295.1783,193.8877,-9.596649,-27.28593,30.23,160.44
test,x,Particle,Fixed,Roll,None,Controller,20.10004,-296.1006,191.1425,-9.038225,-27.49173,30.23,160.46
test,x,Particle,Fixed,Roll,None,Controller,20.20004,-296.9683,188.3742,-8.492418,-27.72749,30.28,160.48
test,x,Particle,Fixed,Roll,None,Controller,20.30004,-297.7795,185.5846,-7.957226,-27.94231,30.28,160.48
test,x,Particle,Fixed,Roll,None,Controller,20.40004,-298.5368,182.7747,-7.423626,-28.13998,30.29,160.42
test,x,Particle,Fixed,Roll,None,Controller,20.50004,-299.2394,179.9475,-6.900454,-28.30363,30.24,160.29
test,x,Particle,Fixed,Roll,None,Controller,20.60004,-299.89,177.1039,-6.396501,-28.50325,30.23,160.2
test,x,Particle,Fixed,Roll,None,Controller,20.70004,-300.494,174.2404,-5.909487,-28.68425,30.28,160
test,x,Particle,Fixed,Roll,None,Controller,20.80004,-301.0514,171.3605,-5.439426,-28.81398,30.28,159.67
test,x,Particle,Fixed,Roll,None,Controller,20.90004,-301.5628,168.4662,-4.985134,-28.97745,30.28,159.67
test,x,Particle,Fixed,Roll,None,Controller,21.00004,-302.0261,165.5587,-4.552676,-29.1195,30.33,159.6
test,x,Particle,Fixed,Roll,None,Controller,21.10004,-302.4463,162.6445,-4.136142,-29.16495,30.39,159.32
test,x,Particle,Fixed,Roll,None,Controller,21.20004,-302.8248,159.7216,-3.730732,-29.23879,30.41,159
test,x,Particle,Fixed,Roll,None,Controller,21.30005,-303.1667,156.7903,-3.345061,-29.30011,30.36,158.53
test,x,Particle,Fixed,Roll,None,Controller,21.40005,-303.4757,153.8519,-2.98023,-29.35246,30.35,158.31
test,x,Particle,Fixed,Roll,None,Controller,21.50005,-303.7501,150.9094,-2.637972,-29.39646,30.42,158.07
test,x,Particle,Fixed,Roll,None,Controller,21.60005,-303.9931,147.9639,-2.318866,-29.43414,30.49,157.79
test,x,Particle,Fixed,Roll,None,Controller,21.70005,-304.2057,145.0153,-2.023763,-29.46579,30.49,157.79
test,x,Particle,Fixed,Roll,None,Controller,21.80005,-304.3899,142.0644,-1.752195,-29.52715,30.48,157.64
test,x,Particle,Fixed,Roll,None,Controller,21.90005,-304.5484,139.1074,-1.505696,-29.58319,30.39,157.38
test,x,Particle,Fixed,Roll,None,Controller,22.00005,-304.6848,136.1439,-1.282476,-29.65355,30.35,157.22
test,x,Particle,Fixed,Roll,None,Controller,22.10005,-304.7997,133.1746,-1.082004,-29.71964,30.37,156.94
test,x,Particle,Fixed,Roll,None,Controller,22.20005,-304.8967,130.1983,-0.9031315,-29.78099,30.43,156.85
test,x,Particle,Fixed,Roll,None,Controller,22.30005,-304.9775,127.2221,-0.7472996,-29.75936,30.53,156.62
test,x,Particle,Fixed,Roll,None,Controller,22.40005,-305.0552,123.6502,-0.5782646,-29.77585,30.53,156.37
test,x,Particle,Fixed,Roll,None,Controller,22.50005,-305.0961,121.2662,-0.4734124,-29.81441,30.53,156.37
test,x,Particle,Fixed,Roll,None,Controller,22.60005,-305.136,118.282,-0.350171,-29.85881,30.54,156.22
test,x,Particle,Fixed,Roll,None,Controller,22.70005,-305.1642,115.2987,-0.2357026,-29.83683,30.59,156.02
test,x,Particle,Fixed,Roll,None,Controller,22.80005,-305.1811,112.3169,-0.122974,-29.84179,30.58,155.92
test,x,Particle,Fixed,Roll,None,Controller,22.90005,-305.1866,109.3295,-0.01025558,-29.89361,30.63,155.87
test,x,Particle,Fixed,Roll,None,Controller,23.00005,-305.1812,106.3391,0.09829307,-29.9139,30.65,155.84
test,x,Particle,Fixed,Roll,None,Controller,23.10005,-305.165,103.3466,0.2027365,-29.93356,30.69,155.77
test,x,Particle,Fixed,Roll,None,Controller,23.20005,-305.1388,100.3522,0.300599,-29.95047,30.72,155.74
test,x,Particle,Fixed,Roll,None,Controller,23.30005,-305.1034,97.35631,0.3897534,-29.96442,30.72,155.74
test,x,Particle,Fixed,Roll,None,Controller,23.40005,-305.0596,94.35896,0.4685076,-29.97938,30.72,155.66
test,x,Particle,Fixed,Roll,None,Controller,23.50005,-305.0086,91.36025,0.535111,-29.99225,30.69,155.59
test,x,Particle,Fixed,Roll,None,Controller,23.60005,-304.9518,88.36012,0.5884886,-30.01037,30.74,155.65
test,x,Particle,Fixed,Roll,None,Controller,23.70005,-304.8905,85.35759,0.6278335,-30.02255,30.76,155.57
